location,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
United States,61.10593406593361,331002647.0,35.608000000000146,38.29999999999967,15.412999999999819,9.731999999999976,54225.44599999978,1.1999999999999955,151.08900000000034,10.789999999999969,19.10000000000016,24.600000000000207,,2.7699999999999867,78.86000000000041,0.9259999999999918
Brazil,67.64463917525762,212559409.0,25.04000000000017,33.5,8.552000000000035,5.05999999999996,14103.451999999905,3.4000000000000146,177.96100000000055,8.110000000000024,10.099999999999952,17.899999999999867,,2.200000000000016,75.88000000000032,0.764999999999992
Mexico,57.84405919661709,128932753.0,66.44399999999969,29.29999999999977,6.856999999999977,4.320999999999966,17336.468999999808,2.5,152.78300000000078,13.060000000000107,6.900000000000058,21.399999999999807,87.84700000000089,1.3799999999999961,75.04999999999978,0.7789999999999974
India,67.625056947608,1380004385.0,450.41899999999663,28.200000000000173,5.989000000000024,3.4139999999999886,6426.674000000073,21.19999999999999,282.279999999999,10.390000000000004,1.8999999999999853,20.600000000000172,59.54999999999954,0.530000000000001,69.65999999999987,0.6450000000000018
United Kingdom,66.91798185941053,67886004.0,272.8980000000009,40.799999999999656,18.51699999999988,12.527000000000038,39753.24400000034,0.20000000000000165,122.13700000000071,4.279999999999977,20.0,24.700000000000095,,2.539999999999984,81.31999999999975,0.932000000000003
Italy,68.70714932126698,60461828.0,205.85899999999802,47.90000000000015,23.021000000000054,16.239999999999846,35220.084000000264,2.0,113.1509999999998,4.779999999999986,19.80000000000006,27.799999999999837,,3.180000000000002,83.50999999999964,0.8919999999999968
France,59.842660753880196,68147687.0,122.57800000000091,42.0,19.717999999999968,13.078999999999963,38605.67100000008,,86.0600000000001,4.7699999999999845,30.100000000000236,35.60000000000026,,5.980000000000016,82.66000000000034,0.9010000000000068
Spain,63.626756756756556,46754783.0,93.10500000000039,45.5,19.435999999999865,13.79899999999998,34272.35999999981,1.0,99.40299999999907,7.1700000000000434,27.39999999999978,31.399999999999764,,2.9700000000000215,83.56000000000022,0.9039999999999973
Russia,51.84429213483133,145934460.0,8.822999999999956,39.60000000000012,14.177999999999939,9.393000000000024,24765.95399999992,0.10000000000000082,431.29699999999895,6.179999999999972,23.399999999999807,58.29999999999954,,8.05000000000006,72.58000000000084,0.8240000000000076
Germany,61.64821029082796,83783945.0,237.01600000000215,46.59999999999987,21.453000000000095,15.957000000000125,45229.244999999886,,156.13900000000075,8.309999999999954,28.200000000000177,33.10000000000025,,8.0,81.33000000000094,0.9470000000000025
